be|was ,were|been|быть|My name is Jeka|He was late - Он опоздал, They were late - Они опоздали|Success has been achieved - был достигнут успех
get|got|got ,gotten|получать|When did you get home? - Когда ты пришёл домой?|I have got to leave early. - Мне надо уйти пораньше., Could have gotten — мог бы получить; мог бы достать|He has got(ten) a new car every year since he learned to drive. – Каждый год он получает новую машину с тех пор, как научился водить.
learn|learnt ,learned|learnt ,learned|учиться, узнавать|Live and learn! - Век живи и век учись!, I learned Sanskrit. - Я выучил санскрит.|no example|no example
spell|spelt ,spelled|spelt ,spelled|произносить , писать по буквам|How do you spell your name? - Как пишется ваше имя?|no example|no example
spill|spilt ,spilled|spilt ,spilled|разлить|I didn't spill a drop. - Я не пролил ни капли.|no example|no example
spoil|spoilt ,spoiled|spoilt ,spoiled|портить|The milk was beginning to spoil. - Молоко начинало портиться. |no example|no example
swell|swelled|swollen ,swelled|опухать|The water swells the wood. - От воды эта древесина разбухает.|The wind swelled the sails. - Ветер надул паруса.|The window frame was swollen shut. - Оконная рама разбухла, и её заклинило.
wear|wore|worn|носить одежду|What size do you wear? - Какой размер вы носите?|He wore a hole in his pants. - У него была дырка на штанах.|His jeans have worn thin at the knees. - Его джинсы износились в коленях.
arise|arose|arisen|возникать, появляться, подниматься, вставать|Thence arise divergent opinions. - Отсюда и появляются различные мнения.|Doubts arose in his mind. - В его голове возникли сомнения.|A new difficulty has arisen. - Возникло новое затруднение.
awake|awoke|awoken|будить, пробуждать|He was awake now, as was everyone else. - Он уже проснулся, как и все остальные. |The alarm awoke me early. - Будильник разбудил меня рано.|They were awoken by a loud bang. - Их разбудил громкий взрыв. 
bear|bore|born|рожать, переносить|I don't bear German soldier. - Я не буду рожать маленьких немецких солдат.|You bore me for nothing but pain. - Ты породил меня ни для чего, кроме боли.|to be born - родиться
beat|beat|beaten|бить|Beat out this tune on a drum. - Выстучи эту мелодию на барабане. |The drums beat all night. - Барабаны били всю ночь|He was questioned and beaten. - Его допрашивали и избивали.
become|became|become|становиться|What will become of our freedom? - Что станет с нашей свободой?|It became stuffy. - Стало душно.|no example
begin|began|begun|начинать|no example|no example|no example
bend|bent|bent|наклонять|no example|no example|no example
bet|bet|bet|заключать пари|no example|no example|no example
bind|bound|bound|связывать|no example|no example|no example
bite|bit|bitten|кусать|no example|no example|no example
bleed|bled|bled|кровоточить|no example|no example|no example
blow|blew|blown|дуть|no example|no example|no example
break|broke|broken|ломать|no example|no example|no example
breed|bred|bred|разводить животных|no example|no example|no example
bring|brought|brought|приносить|no example|no example|no example
build|built|built|строить|no example|no example|no example
buy|bought|bought|покупать|no example|no example|no example
catch|caught|caught|ловить|no example|no example|no example
choose|chose|chosen|выбирать|no example|no example|no example
cling|clung|clung|цепляться|no example|no example|no example
come|came|come|приходить|no example|no example|no example
cost|cost|cost|стоить|no example|no example|no example
cut|cut|cut|резать|no example|no example|no example
deal|dealt|dealt|вести дела|no example|no example|no example
dig|dug|dug|копать|no example|no example|no example
do|did|done|делать|no example|no example|no example
draw|drew|drawn|рисовать, тянуть|no example|no example|no example
drink|drank|drunk|пить|no example|no example|no example
drive|drove|driven|водить автомобиль|no example|no example|no example
eat|ate|eaten|кушать|no example|no example|no example
fall|fell|fallen|падать|no example|no example|no example
feed|fed|fed|кормить|no example|no example|no example
feel|felt|felt|чувствовать|no example|no example|no example
fight|fought|fought|бороться|no example|no example|no example
find|found|found|находить|no example|no example|no example
flee|fled|fled|сбегать|no example|no example|no example
fly|flew|flown|летать|no example|no example|no example
forbid|forbade|forbidden|запрещать|no example|no example|no example
forget|forgot|forgotten|забывать|no example|no example|no example
forgive|forgave|forgiven|прощать|no example|no example|no example
freeze|froze|frozen|замораживать|no example|no example|no example
give|gave|given|давать|no example|no example|no example
go|went|gone|идти|no example|no example|no example
grow|grew|grown|расти|no example|no example|no example
hang|hung|hung|висеть|no example|no example|no example
have|had|had|иметь|no example|no example|no example
hear|heard|heard|слышать|no example|no example|no example
hide|hid|hidden|прятать|no example|no example|no example
hit|hit|hit|ударять, попадать|no example|no example|no example
hold|held|held|держать|no example|no example|no example
hurt|hurt|hurt|причинять боль|no example|no example|no example
keep|kept|kept|сохранять, соблюдать|no example|no example|no example
know|knew|known|знать|no example|no example|no example
lay|laid|laid|класть|no example|no example|no example
lead|led|led|вести, лидировать|no example|no example|no example
leave|left|left|покидать, оставлять|no example|no example|no example
lend|lent|lent|давать взаймы|no example|no example|no example
let|let|let|позволять|no example|no example|no example
lie|lay|lain|лежать|no example|no example|no example
light|lit|lit|зажигать, освещать|no example|no example|no example
lose|lost|lost|терять|no example|no example|no example
make|made|made|делать, мастерить|no example|no example|no example
mean|meant|meant|значить|no example|no example|no example
meet|met|met|встречать, знакомиться|no example|no example|no example
pay|paid|paid|платить|no example|no example|no example
put|put|put|класть, ставить|no example|no example|no example
read|read|read|читать|no example|no example|no example
ride|rode|ridden|ездить верхом|no example|no example|no example
ring|rang|rung|звонить|no example|no example|no example
rise|rose|risen|возрастать, подниматься|no example|no example|no example
run|ran|run|бежать|no example|no example|no example
say|said|said|сказать|no example|no example|no example
see|saw|seen|видеть|no example|no example|no example
seek|sought|sought|искать|no example|no example|no example
sell|sold|sold|продавать|no example|no example|no example
send|sent|sent|посылать|no example|no example|no example
set|set|set|устанавливать|no example|no example|no example
shake|shook|shaken|трясти|no example|no example|no example
shine|shone|shone|светить, сиять|no example|no example|no example
shoot|shot|shot|стрелять|no example|no example|no example
show|showed|shown|показывать|no example|no example|no example
shrink|shrank|shrunk|сжиматься|no example|no example|no example
shut|shut|shut|закрывать, затворять|no example|no example|no example
sing|sang|sung|петь|no example|no example|no example
sit|sat|sat|сидеть|no example|no example|no example
sleep|slept|slept|спать|no example|no example|no example
slide|slid|slid|скользить|no example|no example|no example
smell|smelt|smelt|пахнуть, нюхать|no example|no example|no example
speak|spoke|spoken|говорить|no example|no example|no example
spend|spent|spent|тратить, проводить время|no example|no example|no example
spin|spun|spun|крутить|no example|no example|no example
split|split|split|разделять, раскалывать|no example|no example|no example
spread|spread|spread|разворачивать, распространять|no example|no example|no example
stand|stood|stood|стоять|no example|no example|no example
steal|stole|stolen|воровать|no example|no example|no example
sting|stung|stung|жалить|no example|no example|no example
stink|stank|stunk|вонять|no example|no example|no example
strike|struck|struck|бастовать, ударять|no example|no example|no example
swear|swore|sworn|клясться, ругаться|no example|no example|no example
sweep|swept|swept|подметать|no example|no example|no example
swim|swam|swum|плавать|no example|no example|no example
take|took|taken|брать|no example|no example|no example
teach|taught|taught|обучать|no example|no example|no example
tear|tore|torn|рвать|no example|no example|no example
tell|told|told|рассказывать|no example|no example|no example
think|thought|thought|думать|no example|no example|no example
throw|threw|thrown|бросать|no example|no example|no example
understand|understood|understood|понимать|no example|no example|no example
wake|woke|woken|будить|no example|no example|no example
win|won|won|побеждать|no example|no example|no example
wind|wound|wound|обматывать, изгибаться|no example|no example|no example
write|wrote|written|писать|no example|no example|no example