улица|street
компания|company
часть|part
система|system
номер|number
мир, вселенная|world
случай, дело|case
работа, труд|work
вечеринка|party
девочка|girl
правительство|government
дом|house
женщина|woman
жизнь|life
люди|people
год|year
день|day
способ,путь|way
вещь, предмет|thing
ребенок|child
группа|group
время|time
область, участок|area
проблема|problem
место|place
рука|hand
сервис|service
школа|school
парень|guy
страна|country
точка,пункт|point
неделя|week
отношения|relationship
конец|end
слово|word
семья|family
факт|fact
голова|head
месяц|month
информация|information
власть|power
перемена, замена|change
вопрос|question
бизнес, дело|business
развитие|development
дом|home
сторона|side
ночь|night
деньги|money
глаз|eye
интерес|interest
книга|book
учитель|teacher
воздух|air
суд|court
вода|water
менеджер|manager
форма|form
еда|food
государство|State
момент|moment
уровень|level
комната|room
машина|car
повесть, история, рассказ|story
рынок|market
эффект|effect
идея|idea
возможность, шанс, перспектива|opportunity
результат|result
применение|use
изучение,учеба|study
работа, задание|job
имя|name
доклад, отчет|report
тело|body
закон|law
лицо|face
власть, полномочия, авторитет|authority
друг|friend
родитель|parent
минута|minute
дверь|door
министр|minister
дорога|road
уровень, тариф, курс валют, рейтинг|rate
линия, черта|line
час|hour
война|war
мать|mother
право, привилегия|right
офис|office
личность, человек|person
причина, повод|reason
вид, пейзаж,точка зрения, взгляд|view
срок, длительность,семестр|term
период|period
центр|centre
утро|morning
проект, замысел|project
исследование|research
фигура, образ, цифра|figure
общество|society
история (наука предмет события)|history
город|city
полиция|police
вид, сорт|kind
миллион|million
сообщество, партнерство|community
нужда, необходимость|need
президент|president
цена|price
команда|team
игра|game
отец|father
ребенок|kid
студент|student
поддержка|support
программа|program
здоровье|health
поле, пространство, сфера деятельности|field
человек, мужчина|man
пример|example
качество|quality
контроль|control
действие|action
процесс|process
положение, ситуация, должность|position
образование|education
возраст|age
курс|course
тип|type
метод, образ действий, поведение|manner
порядок, приказ, заказ|order
решение|decision
индустрия, производство|industry
ум, разум|mind
условие|condition
бумага|paper
банк|bank
век|century
деятельность, активность|activity
стол|table
чувство|sense
здание|building
опыт|experience
персонал, штат сотрудников|staff
язык|language
план|plan
политика, стратегия, принципы, нормы|policy